serie;idbank;periode;valeur;statut_obs;date_maj_insee;source;date_extraction
ILC;001532540;2005-T1;92.15;JO 20/11/2014;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2005-T2;92.46;JO 20/11/2014;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2005-T3;92.86;JO 20/11/2014;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2005-T4;93.46;JO 20/11/2014;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2006-T1;94.21;JO 20/11/2014;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2006-T2;95;JO 20/11/2014;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2006-T3;95.8;JO 20/11/2014;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2006-T4;96.4;JO 20/11/2014;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2007-T1;96.81;JO 20/11/2014;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2007-T2;97.45;JO 20/11/2014;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2007-T3;98.07;JO 20/11/2014;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2007-T4;98.9;JO 20/11/2014;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2008-T1;100;JO 13/11/2008;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2008-T2;101.2;JO 13/11/2008;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2008-T3;102.46;JO 15/01/2009;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2008-T4;103.01;JO 25/04/2009;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2009-T1;102.73;JO 19/07/2009;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2009-T2;102.05;JO 15/10/2009;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2009-T3;101.21;JO 13/01/2010;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2009-T4;101.07;JO 11/04/2010;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2010-T1;101.36;JO 20/07/2010;24/06/2026 12:00;INSEE_XLSX;2026-09-09
